File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes,License Type,Pricing Tier
A031_C051_09160C_V1-0088.mp4,,00:00:43:02,,,5120 x 2700,r3d,"Streams of volcanic bubbles rise from the black sand seafloor of Sangeang island, Sumbawa, Indonesia, Pacific Ocean",Volcanic-activity-swell-black-sand-underwater,,"Sumbawa, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A032_C108_091766_V1-0073.mp4,,00:00:18:89,,,5120 x 2700,r3d,"A man walks under a drying line filled with colourful sorongs, Bonto village, Sangeang Island, Sumbawa, Indonesia. No MR",Villager-walking-through-colorful-sarongs,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,,,,,,,1.09,Editorial,Standard
A032_C105_0917PS_V2-0033.mp4,,00:00:54:06,,,5120 x 2700,r3d,"Local man walks away from his small boat across the beach to the village, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",villager-local-traditional-boat-indonesia-walking-away,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,,,,,,,1.09,Editorial,Standard
A032_C105_0917PS_V2-0032.mp4,,00:00:54:06,,,5120 x 2700,r3d,"Village man pushing his small wooden boat to sea, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",villager-local-traditional-boat-indonesia,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,,,,,,,1.09,Editorial,Standard
A032_C135_0917XI_V1-0076.mp4,,00:00:26:104,,,5120 x 2160,r3d,"Two young girls playing in the sea, Bontoh village, Sangeang Island, Sumbawa, Indonesia. No MR",Village-girls-playing-in-the-sea,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,120,,,,,,,,,,2.37,Editorial,Standard
A033_C013_09170B_V1-0090.mp4,,00:01:56:81,,,5120 x 2160,r3d,"Schools of colourful anthias and damselfish swim above a healthy hard and soft coral reef, Komodo National Park, Indonesia, Pacific Ocean",very-slow-slomo-push-towards-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 7:1,96,,,,,,,,,,2.37,Commercial,Premium
A033_C013_09170B_V1-0091.mp4,,00:01:56:81,,,5120 x 2160,r3d,"Schools of colourful anthias and damselfish swim above a healthy hard and soft coral reef, Komodo National Park, Indonesia, Pacific Ocean",very-slow-slomo-push-towards-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 7:1,96,,,,,,,,,,2.37,Commercial,Premium
A032_C139_0918JK_001.R3D,,00:01:26:52,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims through the water column backlit with sun rays, Komodo National Park, Indonesia, Pacific Ocean",Turtle-swimming-water-column-sun,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C140_0918QW_001.R3D,,00:00:54:48,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, swims behind the coral, Komodo National Park, Indonesia, Pacific Ocean",turtle-swimming-behind-coral,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C140_0918QW_001.R3D,,00:00:54:48,,,5120 x 2700,r3d,"A green turtle, Chelonia mydas, hiding behind corals, Komodo National Park, Indonesia, Pacific Ocean",turtle-hiding-behind-coral,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
