# Paste these rows into Raja Stock Clips 3 Clips Metadata.csv (or Numbers master)
# File Name = R3D reel ID | Comments = URL slug | fill Description + Duration TC
# Then run: node ingest.js

File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes
A031_C051_09160C_V1-0088_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C051 09160c V1 0088 — add species, behavior, and location description",a031-c051-09160c-v1-0088,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C056_0916J9_V1-0104_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C056 0916j9 V1 0104 — add species, behavior, and location description",a031-c056-0916j9-v1-0104,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C058_0916EW_V1-0099_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C058 0916ew V1 0099 — add species, behavior, and location description",a031-c058-0916ew-v1-0099,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C059_0916BQ_V1-0100_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C059 0916bq V1 0100 — add species, behavior, and location description",a031-c059-0916bq-v1-0100,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C060_0916XJ_V1-0101_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C060 0916xj V1 0101 — add species, behavior, and location description",a031-c060-0916xj-v1-0101,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C061_091653_V1-0102_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C061 091653 V1 0102 — add species, behavior, and location description",a031-c061-091653-v1-0102,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A031_C062_0916FQ_V1-0103_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A031 C062 0916fq V1 0103 — add species, behavior, and location description",a031-c062-0916fq-v1-0103,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C047_0916U8_V1-0117_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C047 0916u8 V1 0117 — add species, behavior, and location description",a032-c047-0916u8-v1-0117,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C048_0916EK_V1-0118_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C048 0916ek V1 0118 — add species, behavior, and location description",a032-c048-0916ek-v1-0118,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C049_0916MH_V1-0119_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C049 0916mh V1 0119 — add species, behavior, and location description",a032-c049-0916mh-v1-0119,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C052_0916HO_V1-0120_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C052 0916ho V1 0120 — add species, behavior, and location description",a032-c052-0916ho-v1-0120,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C053_0916QP_V1-0121_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C053 0916qp V1 0121 — add species, behavior, and location description",a032-c053-0916qp-v1-0121,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C054_09165W_V1-0122_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C054 09165w V1 0122 — add species, behavior, and location description",a032-c054-09165w-v1-0122,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C057_0916GN_V1-0123_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C057 0916gn V1 0123 — add species, behavior, and location description",a032-c057-0916gn-v1-0123,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C063_0916ZP_V1-0124_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C063 0916zp V1 0124 — add species, behavior, and location description",a032-c063-0916zp-v1-0124,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C064_0916KF_V1-0125_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C064 0916kf V1 0125 — add species, behavior, and location description",a032-c064-0916kf-v1-0125,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C064_0916KF_V1-0126_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C064 0916kf V1 0126 — add species, behavior, and location description",a032-c064-0916kf-v1-0126,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C065_0916MP_V1-0127_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C065 0916mp V1 0127 — add species, behavior, and location description",a032-c065-0916mp-v1-0127,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C065_0916MP_V1-0128_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C065 0916mp V1 0128 — add species, behavior, and location description",a032-c065-0916mp-v1-0128,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C066_0916S5_V1-0129_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C066 0916s5 V1 0129 — add species, behavior, and location description",a032-c066-0916s5-v1-0129,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C066_0916S5_V1-0130_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C066 0916s5 V1 0130 — add species, behavior, and location description",a032-c066-0916s5-v1-0130,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C066_0916S5_V1-0131_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C066 0916s5 V1 0131 — add species, behavior, and location description",a032-c066-0916s5-v1-0131,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C066_0916S5_V1-0132_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C066 0916s5 V1 0132 — add species, behavior, and location description",a032-c066-0916s5-v1-0132,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C066_0916S5_V1-0133_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C066 0916s5 V1 0133 — add species, behavior, and location description",a032-c066-0916s5-v1-0133,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C067_0916P9_V1-0134_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C067 0916p9 V1 0134 — add species, behavior, and location description",a032-c067-0916p9-v1-0134,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C067_0916P9_V1-0135_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C067 0916p9 V1 0135 — add species, behavior, and location description",a032-c067-0916p9-v1-0135,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C068_091633_V1-0136_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C068 091633 V1 0136 — add species, behavior, and location description",a032-c068-091633-v1-0136,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C070_0916DT_V1-0137_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C070 0916dt V1 0137 — add species, behavior, and location description",a032-c070-0916dt-v1-0137,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C072_0916GO_V1-0138_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C072 0916go V1 0138 — add species, behavior, and location description",a032-c072-0916go-v1-0138,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C073_0916KG_V1-0139_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C073 0916kg V1 0139 — add species, behavior, and location description",a032-c073-0916kg-v1-0139,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C074_091650_V1-0140_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C074 091650 V1 0140 — add species, behavior, and location description",a032-c074-091650-v1-0140,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C075_0916L0_V1-0141_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C075 0916l0 V1 0141 — add species, behavior, and location description",a032-c075-0916l0-v1-0141,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C076_09162V_V1-0142_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C076 09162v V1 0142 — add species, behavior, and location description",a032-c076-09162v-v1-0142,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C078_09169V_V1-0143_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C078 09169v V1 0143 — add species, behavior, and location description",a032-c078-09169v-v1-0143,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C079_09162S_V1-0144_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C079 09162s V1 0144 — add species, behavior, and location description",a032-c079-09162s-v1-0144,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C080_091632_V1-0145_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C080 091632 V1 0145 — add species, behavior, and location description",a032-c080-091632-v1-0145,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C081_091688_V1-0146_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C081 091688 V1 0146 — add species, behavior, and location description",a032-c081-091688-v1-0146,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C082_0916ES_V1-0147_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C082 0916es V1 0147 — add species, behavior, and location description",a032-c082-0916es-v1-0147,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
