File Name,Duration TC,Resolution,Video Codec,Title,Description,Shot,Scene,Start TC,End TC,Camera Type,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes,,
A006_A069_04136T_001.R3D,00:00:42:14,4608 x 2412,r3d,Whaleshark entering frame going towards the nets ,"A whale shark, Rhincodon typus, enters the frame from the right in front of a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:42:28:13,08:43:11:02,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A071_0413MX_001.R3D,00:00:41:03,4608 x 2412,r3d,Whaleshark swimming towards camera in the shadow of the silhouetted fishing platform ,"A whale shark, Rhincodon typus, swims in the shadows under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:43:53:03,08:44:34:06,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A077_0413SW_001.R3D,00:01:16:20,4608 x 2412,r3d,Whaleshark eating leftover bait thrown from fishermen ,"A whale shark, Rhincodon typus, eats baitfish while swimming under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:51:15:23,08:52:32:18,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A079_0413DA_001.R3D,00:00:35:05,4608 x 2412,r3d,Whaleshark entering frame from below in blue water,"A whale shark, Rhincodon typus, enters the frame from the bottom with camera showcasing the spots on the top of the shark, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:58:26:14,08:59:01:19,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A080_0413EY_001.R3D,00:00:52:03,4608 x 2412,r3d,Silhouette of whaleshark and fishing platform ,"Silhouette of a whale shark, Rhincodon typus, swimming under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:59:45:13,09:00:37:16,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A081_0413LN_001.R3D,00:00:49:01,4608 x 2412,r3d,Looking up at whalesharks around fishing platforms ,"Silhouette of a whale shark, Rhincodon typus, swimming overhead with a second shark coming in from the side, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,09:01:05:09,09:01:54:10,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A083_0413AJ_001.R3D,00:00:39:21,4608 x 2412,r3d,Whaleshark close up eye contact with camera ,"Close up of a whale shark, Rhincodon typus, rises up to the surface for feeding, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,09:04:19:09,09:04:59:05,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A084_0413LT_001.R3D,00:00:41:08,4608 x 2412,r3d,Mood shot whaleshark in deep water ,"Looking down on a whale shark, Rhincodon typus, swimming away from the camera , Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,09:13:15:13,09:13:56:21,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A087_0413WA_001.R3D,00:03:07:21,4608 x 2412,r3d,Whaleshark swimming below in deep water ,"Looking down on a whale shark, Rhincodon typus, swimming in the open ocean, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,09:16:41:20,09:19:49:16,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A089_04138A_001.R3D,00:01:05:00,4608 x 2412,r3d,Whaleshark silhouette swimming and filling the frame ,"A whale shark, Rhincodon typus, enters the frame in front of a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,09:24:48:24,09:25:53:24,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A057_0413TH_001.R3D,00:01:21:04,4608 x 2412,r3d,Following whale shark from above and behind,"Following a whale shark, Rhincodon typus, from above and behind, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:29:04:22,08:30:26:01,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A062_0413WX_001.R3D,00:01:02:09,4608 x 2412,r3d,Whaleshark swimming below in the deep,"A whale shark, Rhincodon typus, swims far below in the blue, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:33:54:23,08:34:57:07,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A062_0413WX_001.R3D,00:01:21:11,4608 x 2412,r3d,Deep water whalesharks to reveal whaleshark next to camera,"Two whale sharks, Rhincodon typus, swim far below in the blue, panning to a third swimming beside the camera, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:34:57:06,08:36:18:17,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A006_A068_0413CZ_001.R3D,00:00:32:18,4608 x 2412,r3d,Whaleshark swimming in the blue ,"The front left side of a whale shark, Rhincodon typus, as it swims in the blue Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,08:41:30:18,08:42:03:11,DSMC2 GEMINI 5K S35,REDcode 7:1,50,180,191.045,Natural History,Underwater
A003_A128_0410WL_001.R3D,00:02:18:17,5120 x 2700,r3d,Underwater view of two whalesharks next to fishing platform bagan.,"Two whale sharks, Rhincodon typus, with attendant cobia, Rachycentron canadum, and remoras, Echeneis naucrates, pass each other under a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:56:46:08,06:59:05:00,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A129_04105P_001.R3D,00:01:41:18,5120 x 2700,r3d,Underwater multiple whalesharks next to fishing platform bagan,"Two whale sharks, Rhincodon typus, with attendant cobia, Rachycentron canadum, and remoras, Echeneis naucrates, swimming under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:58:31:04,07:00:12:22,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A133_0410TI_001.R3D,00:00:38:10,5120 x 2700,r3d,Remoras on whalesharks,"Two whale sharks, Rhincodon typus, with attendant cobia, Rachycentron canadum, and remoras, Echeneis naucrates, swim past each other, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:01:41:14,07:02:19:24,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A149_0410ZM_001.R3D,00:00:53:21,5120 x 2700,r3d,Looking up at multiple whalesharks swimming under bagan,"Four whale sharks, Rhincodon typus, swimming under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:14:55:12,07:15:49:08,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A153_0410IP_001.R3D,00:04:12:22,5120 x 2700,r3d,Multiple whalesharks swimming towards net with fish ,"Following a whale shark, Rhincodon typus, as it swims toward a second whale shark under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:17:16:17,07:21:29:14,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
